site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#344302,level,decreasing,True,1.818715027024354e-06,-4.772590320194992,-0.8300653594771242,-127,697.0,-0.389999999999999,-75.105,-31.19999999999992
#344801,level,decreasing,True,0.02304655282298507,-2.272662057235711,-0.3986928104575164,-61,697.0,-0.2112499999999997,-74.424375,-16.89999999999998
#345801,level,decreasing,True,4.299031169452405e-05,-4.090791703024279,-0.7124183006535948,-109,697.0,-0.4791666666666667,-81.28208333333332,-38.33333333333334
#348202,level,no trend,False,0.05787968015396805,-1.896608104527204,-0.3333333333333333,-51,695.0,-0.02333333333333343,-80.83666666666666,-1.866666666666674
#349,level,decreasing,True,0.00103686648383583,-3.280327502431236,-0.5368421052631579,-102,948.0,-0.3387500000000045,-37.46187499999996,-27.10000000000036
#352301,level,no trend,False,0.6221795424021979,-0.4927637283262872,-0.0915032679738562,-14,696.0,-0.07600000000000004,-66.849,-6.080000000000004
#353901,level,no trend,False,0.09309214399370513,-1.679307428499167,-0.2865497076023392,-49,817.0,-0.03499999999999659,-65.49500000000003,-2.799999999999727
#354301,level,decreasing,True,0.0,-12.75948837218935,-0.9917976760082023,-2902,51692.66666666666,-0.07605989752652141,-43.59416833843664,-6.084791802121713
#356,level,decreasing,True,1.553067999759961e-06,-4.804283301392847,-0.7842105263157895,-149,949.0,-0.09000000000000163,-30.58999999999999,-7.200000000000131
#359809,level,decreasing,True,6.766400422186791e-07,-4.967951142643369,-0.8362573099415205,-143,817.0,-0.7090909090909089,-84.75818181818182,-56.72727272727271
#362801,level,decreasing,True,0.02515093438800653,-2.239076571332223,-0.3801169590643275,-65,817.0,-0.0528571428571435,-106.7842857142857,-4.22857142857148
#370217101593801,level,decreasing,True,4.29490776276964e-09,-5.872415444933604,-0.9578947368421052,-182,950.0,-0.3398319327731087,-31.30159663865547,-27.1865546218487
#370322101443201,level,decreasing,True,0.000127913234754029,-3.830442091651054,-0.6263157894736842,-119,949.0,-0.09923076923076998,-47.74230769230769,-7.938461538461599
#370352101055301,level,decreasing,True,6.906466434308811e-07,-4.963975486601334,-0.8105263157894737,-154,950.0,-1.545098039215687,-59.61406862745097,-123.6078431372549
#370758101272501,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-1.22375,-63.73937500000001,-97.89999999999999
#370958101055501,level,decreasing,True,1.990082609815147e-08,-5.612861171124384,-0.9157894736842105,-174,950.0,-1.577727272727273,-58.0290909090909,-126.2181818181818
#371026101020701,level,decreasing,True,2.897470929852375e-09,-5.937304013385909,-0.968421052631579,-184,950.0,-1.880000000000001,-44.15499999999999,-150.4000000000001
#371237100455301,level,decreasing,True,2.897470929852375e-09,-5.937304013385909,-0.968421052631579,-184,950.0,-0.5549999999999997,-68.90250000000002,-44.39999999999998
#371306100554201,level,decreasing,True,1.990082609815147e-08,-5.612861171124384,-0.9157894736842105,-174,950.0,-0.5315555555555556,-55.43022222222223,-42.52444444444444
#371615100463702,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.6605555555555565,-75.70972222222221,-52.84444444444452
#371621101082602,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-0.5531666666666673,-60.18991666666665,-44.25333333333338
#371641101254101,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-0.9396666666666668,-55.81816666666667,-75.17333333333335
#371713101125601,level,decreasing,True,4.29490776276964e-09,-5.872415444933604,-0.9578947368421052,-182,950.0,-1.115312499999999,-77.31703125,-89.22499999999992
#371907100481601,level,decreasing,True,4.914153728385884e-08,-5.454388937365706,-0.9477124183006536,-145,697.0,-0.6604166666666664,-77.36145833333333,-52.83333333333331
#371916101031901,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.5061538461538461,-76.7626923076923,-40.49230769230768
#372117101280901,level,decreasing,True,0.0002371654055499661,-3.675735220573526,-0.6198830409356725,-106,816.0,-0.323333333333333,-81.88000000000001,-25.86666666666664
#372214101211701,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-1.050801282051282,-79.49238782051282,-84.06410256410254
#372236101324601,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.5045588235294118,-62.46169117647058,-40.36470588235295
#372306100446001,level,decreasing,True,1.364781865298426e-08,-5.677749739576689,-0.9263157894736842,-176,950.0,-0.5500000000000078,-80.72999999999993,-44.00000000000063
#372405100473901,level,decreasing,True,1.336832447851322e-06,-4.834198349696724,-0.7894736842105263,-150,950.0,-0.6891666666666662,-81.98291666666667,-55.13333333333329
#372510101455601,level,decreasing,True,0.001318216531535743,-3.211984138389098,-0.5263157894736842,-100,950.0,-0.05649999999999977,-59.25825,-4.519999999999982
