date,level,site
2018-06-21,,#1161406
2019-06-21,,#1161406
2020-06-21,,#1161406
2001-06-21,,#1161605
2002-06-21,,#1161605
2003-06-21,,#1161605
2004-06-21,,#1161605
2005-06-21,,#1161605
2006-06-21,,#1161605
2007-06-21,,#1161605
2008-06-21,,#1161605
2009-06-21,,#1161605
2010-06-21,,#1161605
2011-06-21,,#1161605
2012-06-21,,#1161605
2013-06-21,,#1161605
2014-06-21,,#1161605
2015-06-21,,#1161605
2016-06-21,,#1161605
2017-06-21,,#1161605
2018-06-21,,#1161605
2019-06-21,,#1161605
2020-06-21,,#1161605
2001-06-21,,#1161801
2002-06-21,,#1161801
2003-06-21,,#1161801
2004-06-21,,#1161801
2005-06-21,,#1161801
2006-06-21,,#1161801
2007-06-21,,#1161801
2008-06-21,,#1161801
2009-06-21,,#1161801
2010-06-21,,#1161801
2011-06-21,,#1161801
2012-06-21,,#1161801
2013-06-21,,#1161801
2014-06-21,,#1161801
2015-06-21,,#1161801
2016-06-21,,#1161801
2017-06-21,,#1161801
2018-06-21,,#1161801
2019-06-21,,#1161801
2020-06-21,,#1161801
2001-06-21,,#1162201
2002-06-21,,#1162201
2003-06-21,,#1162201
2004-06-21,,#1162201
2005-06-21,,#1162201
2006-06-21,,#1162201
2007-06-21,,#1162201
2008-06-21,,#1162201
2009-06-21,,#1162201
2010-06-21,,#1162201
2011-06-21,,#1162201
2012-06-21,,#1162201
2013-06-21,,#1162201
2014-06-21,,#1162201
2015-06-21,,#1162201
2016-06-21,,#1162201
2017-06-21,,#1162201
2018-06-21,,#1162201
2019-06-21,,#1162201
2020-06-21,,#1162201
2001-06-21,,#1162301
2002-06-21,,#1162301
2003-06-21,,#1162301
2004-06-21,,#1162301
2005-06-21,,#1162301
2006-06-21,,#1162301
2007-06-21,,#1162301
2008-06-21,,#1162301
2009-06-21,,#1162301
2010-06-21,,#1162301
2011-06-21,,#1162301
2012-06-21,,#1162301
2013-06-21,,#1162301
2014-06-21,,#1162301
2015-06-21,,#1162301
2016-06-21,,#1162301
2017-06-21,,#1162301
2018-06-21,,#1162301
2019-06-21,,#1162301
2020-06-21,,#1162301
2001-06-21,,#1162401
2002-06-21,,#1162401
2003-06-21,,#1162401
2004-06-21,,#1162401
2005-06-21,,#1162401
2006-06-21,,#1162401
2007-06-21,,#1162401
2008-06-21,,#1162401
2009-06-21,,#1162401
